title, url, img, ingredient
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","tomato paste"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","natural style peanut butter"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","vegetable broth"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","collard greens (4-6 cups chopped)"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","garam masala"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","cumin"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","turmeric"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","smoked paprika"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","cayenne"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","salt"
"Easy Cauliflower and Chickpea Masala","https://www.budgetbytes.com/easy-cauliflower-and-chickpea-masala/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Cauliflower-and-Chickpea-Masala-bowl-347x260.jpg","Freshly Cracked Pepper"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","mushrooms"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","olive oil"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","balsamic vinegar"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","brown sugar"
"Balsamic Roasted Mushrooms with Herby Kale Mashed Potatoes","https://www.budgetbytes.com/balsamic-roasted-mushrooms-with-herby-kale-mashed-potatoes/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Balsamic-Roasted-Mushrooms-with-Herby-Kale-Mashed-Potatoes-347x260.jpg","soy sauce"
